url;deprecated;valid_until;valid_from;id;label_en;label_it;skos:prefLabel
http://publications.europa.eu/resource/authority/language/AHA;false;;1950-05-09;AHA;;;
http://publications.europa.eu/resource/authority/language/AHB;false;;1950-05-09;AHB;;;
http://publications.europa.eu/resource/authority/language/AHG;false;;1950-05-09;AHG;;;
http://publications.europa.eu/resource/authority/language/AHH;false;;1950-05-09;AHH;;;
http://publications.europa.eu/resource/authority/language/AHI;false;;1950-05-09;AHI;;;
http://publications.europa.eu/resource/authority/language/AHK;false;;1950-05-09;AHK;;;
http://publications.europa.eu/resource/authority/language/AHL;false;;1950-05-09;AHL;;;
http://publications.europa.eu/resource/authority/language/AHM;false;;1950-05-09;AHM;;;
http://publications.europa.eu/resource/authority/language/AHN;false;;1950-05-09;AHN;;;
http://publications.europa.eu/resource/authority/language/AHO;false;;1950-05-09;AHO;;;
http://publications.europa.eu/resource/authority/language/AHP;false;;1950-05-09;AHP;;;
http://publications.europa.eu/resource/authority/language/AHR;false;;1950-05-09;AHR;;;
http://publications.europa.eu/resource/authority/language/AHS;false;;1950-05-09;AHS;;;
http://publications.europa.eu/resource/authority/language/AHT;false;;1950-05-09;AHT;;;
http://publications.europa.eu/resource/authority/language/AIA;false;;1950-05-09;AIA;;;
http://publications.europa.eu/resource/authority/language/AIB;false;;1950-05-09;AIB;;;
http://publications.europa.eu/resource/authority/language/AIC;false;;1950-05-09;AIC;;;
http://publications.europa.eu/resource/authority/language/AID;false;;1950-05-09;AID;;;
http://publications.europa.eu/resource/authority/language/AIE;false;;1950-05-09;AIE;;;
http://publications.europa.eu/resource/authority/language/AIF;false;;1950-05-09;AIF;;;
http://publications.europa.eu/resource/authority/language/AIG;false;;1950-05-09;AIG;;;
http://publications.europa.eu/resource/authority/language/AIH;false;;1950-05-09;AIH;;;
http://publications.europa.eu/resource/authority/language/AII;false;;1950-05-09;AII;;;
http://publications.europa.eu/resource/authority/language/AIJ;false;;1950-05-09;AIJ;;;
http://publications.europa.eu/resource/authority/language/AIK;false;;1950-05-09;AIK;;;
http://publications.europa.eu/resource/authority/language/AIL;false;;1950-05-09;AIL;;;
http://publications.europa.eu/resource/authority/language/AIM;false;;1950-05-09;AIM;;;
http://publications.europa.eu/resource/authority/language/AIN;false;;1950-05-09;AIN;;;
http://publications.europa.eu/resource/authority/language/AIO;false;;1950-05-09;AIO;;;
http://publications.europa.eu/resource/authority/language/AIP;false;;1950-05-09;AIP;;;
http://publications.europa.eu/resource/authority/language/AIQ;false;;1950-05-09;AIQ;;;
http://publications.europa.eu/resource/authority/language/AIR;false;;1950-05-09;AIR;;;
http://publications.europa.eu/resource/authority/language/AIS;false;;1950-05-09;AIS;;;
http://publications.europa.eu/resource/authority/language/AIT;false;;1950-05-09;AIT;;;
http://publications.europa.eu/resource/authority/language/AIW;false;;1950-05-09;AIW;;;
http://publications.europa.eu/resource/authority/language/AIX;false;;1950-05-09;AIX;;;
http://publications.europa.eu/resource/authority/language/AIY;false;;1950-05-09;AIY;;;
http://publications.europa.eu/resource/authority/language/AJA;false;;1950-05-09;AJA;;;
http://publications.europa.eu/resource/authority/language/AJG;false;;1950-05-09;AJG;;;
http://publications.europa.eu/resource/authority/language/AJI;false;;1950-05-09;AJI;;;
http://publications.europa.eu/resource/authority/language/AJN;false;;1950-05-09;AJN;Andajin;;
http://publications.europa.eu/resource/authority/language/AJP;false;;1950-05-09;AJP;;;
http://publications.europa.eu/resource/authority/language/AJS;false;;1950-05-09;AJS;Algerian Jewish Sign Language;;
http://publications.europa.eu/resource/authority/language/AJT;false;;1950-05-09;AJT;;;
http://publications.europa.eu/resource/authority/language/AJU;false;;1950-05-09;AJU;;;
http://publications.europa.eu/resource/authority/language/AJW;false;;1950-05-09;AJW;;;
http://publications.europa.eu/resource/authority/language/AJZ;false;;1950-05-09;AJZ;;;
http://publications.europa.eu/resource/authority/language/AKA;false;;1950-05-09;AKA;Akan;akan;
http://publications.europa.eu/resource/authority/language/AKB;false;;1950-05-09;AKB;;;
http://publications.europa.eu/resource/authority/language/AKC;false;;1950-05-09;AKC;;;
http://publications.europa.eu/resource/authority/language/AKD;false;;1950-05-09;AKD;;;
http://publications.europa.eu/resource/authority/language/AKE;false;;1950-05-09;AKE;;;
http://publications.europa.eu/resource/authority/language/AKF;false;;1950-05-09;AKF;;;
http://publications.europa.eu/resource/authority/language/AKG;false;;1950-05-09;AKG;;;
http://publications.europa.eu/resource/authority/language/AKH;false;;1950-05-09;AKH;;;
http://publications.europa.eu/resource/authority/language/AKI;false;;1950-05-09;AKI;;;
http://publications.europa.eu/resource/authority/language/AKJ;false;;1950-05-09;AKJ;;;
http://publications.europa.eu/resource/authority/language/AKK;false;;1950-05-09;AKK;;;
http://publications.europa.eu/resource/authority/language/AKL;false;;1950-05-09;AKL;;;
http://publications.europa.eu/resource/authority/language/AKM;false;;1950-05-09;AKM;;;
http://publications.europa.eu/resource/authority/language/AKO;false;;1950-05-09;AKO;;;
http://publications.europa.eu/resource/authority/language/AKP;false;;1950-05-09;AKP;;;
http://publications.europa.eu/resource/authority/language/AKQ;false;;1950-05-09;AKQ;;;
http://publications.europa.eu/resource/authority/language/AKR;false;;1950-05-09;AKR;;;
http://publications.europa.eu/resource/authority/language/AKS;false;;1950-05-09;AKS;;;
http://publications.europa.eu/resource/authority/language/AKT;false;;1950-05-09;AKT;;;
http://publications.europa.eu/resource/authority/language/AKU;false;;1950-05-09;AKU;;;
http://publications.europa.eu/resource/authority/language/AKV;false;;1950-05-09;AKV;;;
http://publications.europa.eu/resource/authority/language/AKW;false;;1950-05-09;AKW;;;
http://publications.europa.eu/resource/authority/language/AKX;false;;1950-05-09;AKX;;;
http://publications.europa.eu/resource/authority/language/AKY;false;;1950-05-09;AKY;;;
http://publications.europa.eu/resource/authority/language/AKZ;false;;1950-05-09;AKZ;;;
http://publications.europa.eu/resource/authority/language/ALA;false;;1950-05-09;ALA;;;
http://publications.europa.eu/resource/authority/language/ALC;false;;1950-05-09;ALC;;;
http://publications.europa.eu/resource/authority/language/ALD;false;;1950-05-09;ALD;;;
http://publications.europa.eu/resource/authority/language/ALE;false;;1950-05-09;ALE;;;
http://publications.europa.eu/resource/authority/language/ALF;false;;1950-05-09;ALF;;;
http://publications.europa.eu/resource/authority/language/ALG;false;;1950-05-09;ALG;Algonquian languages;;
http://publications.europa.eu/resource/authority/language/ALH;false;;1950-05-09;ALH;;;
http://publications.europa.eu/resource/authority/language/ALI;false;;1950-05-09;ALI;;;
http://publications.europa.eu/resource/authority/language/ALJ;false;;1950-05-09;ALJ;;;
http://publications.europa.eu/resource/authority/language/ALK;false;;1950-05-09;ALK;;;
http://publications.europa.eu/resource/authority/language/ALL;false;;1950-05-09;ALL;;;
http://publications.europa.eu/resource/authority/language/ALM;false;;1950-05-09;ALM;;;
http://publications.europa.eu/resource/authority/language/ALN;false;;1950-05-09;ALN;;;
http://publications.europa.eu/resource/authority/language/ALO;false;;1950-05-09;ALO;;;
http://publications.europa.eu/resource/authority/language/ALP;false;;1950-05-09;ALP;;;
http://publications.europa.eu/resource/authority/language/ALQ;false;;1950-05-09;ALQ;;;
http://publications.europa.eu/resource/authority/language/ALR;false;;1950-05-09;ALR;;;
http://publications.europa.eu/resource/authority/language/ALS;false;;1950-05-09;ALS;;;
http://publications.europa.eu/resource/authority/language/ALT;false;;1950-05-09;ALT;;;
http://publications.europa.eu/resource/authority/language/ALU;false;;1950-05-09;ALU;;;
http://publications.europa.eu/resource/authority/language/ALW;false;;1950-05-09;ALW;;;
http://publications.europa.eu/resource/authority/language/ALX;false;;1950-05-09;ALX;;;
http://publications.europa.eu/resource/authority/language/ALY;false;;1950-05-09;ALY;;;
http://publications.europa.eu/resource/authority/language/ALZ;false;;1950-05-09;ALZ;;;
http://publications.europa.eu/resource/authority/language/AMA;false;;1950-05-09;AMA;;;
http://publications.europa.eu/resource/authority/language/AMB;false;;1950-05-09;AMB;;;
http://publications.europa.eu/resource/authority/language/AMC;false;;1950-05-09;AMC;;;
http://publications.europa.eu/resource/authority/language/AME;false;;1950-05-09;AME;;;
http://publications.europa.eu/resource/authority/language/AMF;false;;1950-05-09;AMF;;;
http://publications.europa.eu/resource/authority/language/AMG;false;;1950-05-09;AMG;;;
http://publications.europa.eu/resource/authority/language/AMH;false;;1950-05-09;AMH;Amharic;amarico;
http://publications.europa.eu/resource/authority/language/AMI;false;;1950-05-09;AMI;;;
http://publications.europa.eu/resource/authority/language/AMJ;false;;1950-05-09;AMJ;;;
http://publications.europa.eu/resource/authority/language/AMK;false;;1950-05-09;AMK;;;
http://publications.europa.eu/resource/authority/language/AML;false;;1950-05-09;AML;;;
http://publications.europa.eu/resource/authority/language/AMM;false;;1950-05-09;AMM;;;
http://publications.europa.eu/resource/authority/language/AMN;false;;1950-05-09;AMN;;;
http://publications.europa.eu/resource/authority/language/AMO;false;;1950-05-09;AMO;;;
http://publications.europa.eu/resource/authority/language/AMP;false;;1950-05-09;AMP;;;
http://publications.europa.eu/resource/authority/language/AMQ;false;;1950-05-09;AMQ;;;
http://publications.europa.eu/resource/authority/language/AMR;false;;1950-05-09;AMR;;;
http://publications.europa.eu/resource/authority/language/AMS;false;;1950-05-09;AMS;;;
http://publications.europa.eu/resource/authority/language/AMT;false;;1950-05-09;AMT;;;
http://publications.europa.eu/resource/authority/language/AMU;false;;1950-05-09;AMU;;;
http://publications.europa.eu/resource/authority/language/AMV;false;;1950-05-09;AMV;;;
http://publications.europa.eu/resource/authority/language/AMW;false;;1950-05-09;AMW;;;
http://publications.europa.eu/resource/authority/language/AMX;false;;1950-05-09;AMX;;;
http://publications.europa.eu/resource/authority/language/AMY;false;;1950-05-09;AMY;;;
http://publications.europa.eu/resource/authority/language/AMZ;false;;1950-05-09;AMZ;;;
http://publications.europa.eu/resource/authority/language/ANA;false;;1950-05-09;ANA;;;
http://publications.europa.eu/resource/authority/language/ANB;false;;1950-05-09;ANB;;;
http://publications.europa.eu/resource/authority/language/ANC;false;;1950-05-09;ANC;;;
http://publications.europa.eu/resource/authority/language/AND;false;;1950-05-09;AND;;;
http://publications.europa.eu/resource/authority/language/ANE;false;;1950-05-09;ANE;;;
http://publications.europa.eu/resource/authority/language/ANF;false;;1950-05-09;ANF;;;
http://publications.europa.eu/resource/authority/language/ANG;false;;1950-05-09;ANG;;;
