url;deprecated;valid_until;valid_from;id;label_en;skos:prefLabel;label_it
http://publications.europa.eu/resource/authority/site/ETHNIKISANTISTASEOS72;false;;2021-07-01;ETHNIKISANTISTASEOS72;Ethnikis Antistaseos 72;;
http://publications.europa.eu/resource/authority/site/ETIHADTOWER;false;;1958-01-01;ETIHADTOWER;Etihad Tower;;
http://publications.europa.eu/resource/authority/site/EUFO1;false;;1958-01-01;EUFO1;Euroforum;;
http://publications.europa.eu/resource/authority/site/EUROPE;false;;1958-01-01;EUROPE;House of Europe (MAEU);;
http://publications.europa.eu/resource/authority/site/EUROPE123;false;;1958-01-01;EUROPE123;Europe 123;;
http://publications.europa.eu/resource/authority/site/EYLAU12;false;;1958-01-01;EYLAU12;Eylau 12;;
http://publications.europa.eu/resource/authority/site/F101;false;;1958-01-01;F101;;;
http://publications.europa.eu/resource/authority/site/FEI;true;1958-01-01;1957-12-31;FEI;European Investment Fund;;Fondo europeo per gli investimenti
http://publications.europa.eu/resource/authority/site/FISR;false;;1958-01-01;FISR;;;
http://publications.europa.eu/resource/authority/site/FRIK21;false;;1958-01-01;FRIK21;Frik 21;;
http://publications.europa.eu/resource/authority/site/G1;false;;1958-01-01;G1;;;
http://publications.europa.eu/resource/authority/site/G12;false;;1958-01-01;G12;;;
http://publications.europa.eu/resource/authority/site/G6;false;;1958-01-01;G6;;;
http://publications.europa.eu/resource/authority/site/GAL;false;;2008-07-14;GAL;;;
http://publications.europa.eu/resource/authority/site/GAMHORIA10;false;;1958-01-01;GAMHORIA10;Gamhoria 10;;
http://publications.europa.eu/resource/authority/site/GARCIABARBON4;false;;1958-01-01;GARCIABARBON4;Odriozola building;;
http://publications.europa.eu/resource/authority/site/GARDENROAD33;false;;1958-01-01;GARDENROAD33;Garden Road 33;;
http://publications.europa.eu/resource/authority/site/GASP;true;2015-05-31;1958-01-01;GASP;;;
http://publications.europa.eu/resource/authority/site/GEDIMINO16;false;;1958-01-01;GEDIMINO16;Gedimino 16;;
http://publications.europa.eu/resource/authority/site/GEOS;true;2014-02-01;2004-02-01;GEOS;GEOS;;
http://publications.europa.eu/resource/authority/site/GOL;true;2016-09-30;1958-01-01;GOL;Goldbell;;
http://publications.europa.eu/resource/authority/site/GOTHERSGADE115;false;;1958-01-01;GOTHERSGADE115;Gothersgade 115;;
http://publications.europa.eu/resource/authority/site/GRACIA90;false;;1958-01-01;GRACIA90;Gràcía 90;;
http://publications.europa.eu/resource/authority/site/GRAN;false;;2002-03-14;GRAN;Dunsany, Grange;;
http://publications.europa.eu/resource/authority/site/GRANDPRE64;false;;1958-01-01;GRANDPRE64;Grand-Pré 64;;
http://publications.europa.eu/resource/authority/site/GRANDPRE66;false;;1958-01-01;GRANDPRE66;Grand-Pré 66;;
http://publications.europa.eu/resource/authority/site/GRENELLE103;true;2019-11-21;1958-01-01;GRENELLE103;Grenelle 103;;
http://publications.europa.eu/resource/authority/site/GUIM;false;;1958-01-01;GUIM;;;
http://publications.europa.eu/resource/authority/site/HANNINGTON17_23;false;;1958-01-01;HANNINGTON17_23;Hannington Road 17-23;;
http://publications.europa.eu/resource/authority/site/HARBORDRIVE490;false;;1958-01-01;HARBORDRIVE490;Harbor drive 490;;
http://publications.europa.eu/resource/authority/site/HASSANII12;false;;1958-01-01;HASSANII12;Hassan II 12;;
http://publications.europa.eu/resource/authority/site/HASTINGSMAINROAD;false;;1958-01-01;HASTINGSMAINROAD;Hastings Main Road;;
http://publications.europa.eu/resource/authority/site/HAV;false;;2013-01-01;HAV;Václav Havel;;
http://publications.europa.eu/resource/authority/site/HEI;false;;1958-01-01;HEI;;;
http://publications.europa.eu/resource/authority/site/HLEDANCENTRE;false;;1958-01-01;HLEDANCENTRE;Hledan Centre;;
http://publications.europa.eu/resource/authority/site/HTC;false;;1958-01-01;HTC;;;
http://publications.europa.eu/resource/authority/site/HTWG;false;;1958-01-01;HTWG;;;
http://publications.europa.eu/resource/authority/site/IAK;false;;2016-01-01;IAK;;;
http://publications.europa.eu/resource/authority/site/INFOPARKE;false;;1958-01-01;INFOPARKE;Infopark Building E;;
http://publications.europa.eu/resource/authority/site/IPE3;false;;1958-01-01;IPE3;IPE 3;;
http://publications.europa.eu/resource/authority/site/IVNOVEMBRE149;false;;1958-01-01;IVNOVEMBRE149;IV Novembre 149;;
http://publications.europa.eu/resource/authority/site/J27;false;;1958-01-01;J27;;;
http://publications.europa.eu/resource/authority/site/J30;false;;1958-01-01;J30;;;
http://publications.europa.eu/resource/authority/site/J54;false;;1958-01-01;J54;;;
http://publications.europa.eu/resource/authority/site/J59;false;;1958-01-01;J59;;;
http://publications.europa.eu/resource/authority/site/J70;false;;1958-01-01;J70;;;
http://publications.europa.eu/resource/authority/site/J79;false;;1958-01-01;J79;;;
http://publications.europa.eu/resource/authority/site/J99;false;;1958-01-01;J99;;;
http://publications.europa.eu/resource/authority/site/JALANTUNRAZAK207;false;;1958-01-01;JALANTUNRAZAK207;Jalan Tun Razak 207;;
http://publications.europa.eu/resource/authority/site/JAN;false;;1958-01-01;JAN;József Antall;;
http://publications.europa.eu/resource/authority/site/JANOVSKEHO438;false;;1958-01-01;JANOVSKEHO438;Janovskeho 438;;
http://publications.europa.eu/resource/authority/site/JASNA14_16;false;;1958-01-01;JASNA14_16;Jasna 14/16;;
http://publications.europa.eu/resource/authority/site/JDE;false;;1958-01-01;JDE;Jacques Delors;;
http://publications.europa.eu/resource/authority/site/JFK;true;;1958-01-01;JFK;;;
http://publications.europa.eu/resource/authority/site/JL;false;;1958-01-01;JL;;;
http://publications.europa.eu/resource/authority/site/JMO;true;2017-06-30;1958-01-01;JMO;Jean Monnet building;;
http://publications.europa.eu/resource/authority/site/JRCGEEL;false;;1960-05-01;JRCGEEL;Geel site;;
http://publications.europa.eu/resource/authority/site/JRCISP;false;;1959-07-22;JRCISP;Ispra site;;
http://publications.europa.eu/resource/authority/site/JRCKARLS;false;;1965-04-01;JRCKARLS;Karlsruhe site;;
